Estado / Canal,Ciudad,coordenadas,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
TABASCO                  ,JALPA DE MENDEZ,"18.1756592,-93.0524135,17",1583,25883000,16659000,12728000,12642000,13274000,14602000,11166000,13293000,12246000,12086000,12346000,14089000
NUEVO LEON               ,EL CARMEN      ,"25.9369285,-100.5395036,11",1584,22008000,13831000,10829000,10463000,10845000,12370000,11123000,13021000,9530000,8782000,8618000,7553000
QUERETARO                ,CADEREYTA DE MO,"20.7004633,-99.8123866,20.75",1585,10743000,8430000,7357000,7086000,7829000,7355000,6821000,7377000,6434000,6796000,5820000,8926000
VERACRUZ                 ,MARTINEZ DE LA ,"20.0597861,-97.0864168,14",1586,14074000,10304000,7678000,7145000,7915000,8032000,5938000,8122000,6926000,7097000,6477000,9100000
AGUASCALIENTES           ,AGUASCALIENTES ,"21.9052774,-102.3548389,13",1587,11184000,6219000,5080000,5177000,5432000,5585000,4798000,5333000,4595000,4808000,3752000,3818000
COLIMA                   ,TECOMAN        ,"18.9216427,-103.8827701,20",1588,17152000,10261000,7915000,5587000,7512000,7869000,6376000,7648000,6653000,6842000,6305000,7025000
MORELOS                  ,AXOCHIAPAN     ,"18.501202,-98.7533116,21",1589,1546000,1229000,1000000,1132000,1136000,1116000,924000,1239000,1008000,945000,922000,892000
MORELOS                  ,CUAUTLA        ,"18.81011,-98.9550302,20",1590,16308000,12934000,9882000,9655000,11941000,10534000,8658000,9650000,8750000,7883000,6377000,1651000
TAMAULIPAS               ,SAN FERNANDO   ,"24.8481863,-98.1546731,19",1591,14733000,9947000,7913000,7140000,8938000,8449000,7281000,8385000,7550000,7343000,6377000,6410000
PUEBLA                   ,RAFAEL LARA  GR,"19.2267338,-97.8041843,21",1592,6272000,15000,0,0,0,0,0,0,0,0,0,0
JALISCO                  ,JAMAY          ,"20.7225965,-103.4092014,15.25",1593,7507000,5042000,3868000,3758000,3859000,4550000,4494000,4588000,3480000,3482000,3075000,3266000
VERACRUZ                 ,VERACRUZ       ,"19.094464,-96.1074788,17",1594,8193000,5321000,4601000,4418000,4952000,4677000,4424000,5028000,4493000,4055000,3919000,4528000
NUEVO LEON               ,GUADALUPE      ,"25.6769393,-100.2633248,15.83",1595,6186000,3091000,2609000,2569000,2714000,2867000,2668000,2855000,2416000,2279000,1924000,1375000
TAMAULIPAS               ,ALTAMIRA       ,"22.3902599,-97.9090456,20.83",1596,13832000,7325000,6245000,6544000,7246000,6807000,6010000,7030000,5896000,5892000,5109000,5389000
MICHOACAN                ,SAHUAYO        ,"20.0592306,-102.7508323,14",1597,2367000,3168000,1473000,2153000,2781000,2661000,2264000,2200000,1379000,3028000,2040000,2033000
SONORA                   ,HERMOSILLO     ,"29.1450119,-111.0262808,14",1598,1340000,670000,422000,453000,756000,702000,683000,922000,650000,533000,534000,748000
GUERRERO                 ,OMETEPEC       ,"16.6890903,-98.4356439,19.54",1599,13031000,10729000,7961000,7120000,8782000,10384000,7582000,7958000,6977000,0,0,0
ESTADO DE MEXICO         ,HUIXQUILUCAN   ,"20.2451003,-102.118558,7",1600,9213000,7141000,6537000,6199000,6550000,6681000,5400000,6559000,5923000,5400000,5287000,6236000
MICHOACAN                ,BUENAVISTA TOMA,"19.2098601,-103.1622219,10",1601,10858000,10083000,7214000,6959000,7140000,8037000,6614000,7467000,5972000,6443000,6454000,8046000
SINALOA                  ,CULIACAN       ,"24.747749,-107.4539381,17",1602,6345000,2697000,2224000,1887000,2636000,2564000,2222000,2915000,2239000,1777000,1604000,1749000
MICHOACAN                ,TANGAMANDAPIO  ,"19.8878174,-102.7843952,10",1603,4533000,3636000,2420000,2581000,2652000,3078000,2689000,2458000,1931000,1716000,1831000,2657000
GUANAJUATO               ,YURIRIA        ,"20.2069712,-101.2632141,12",1604,9355000,8453000,5888000,5470000,5588000,6417000,5567000,6555000,5503000,5674000,5090000,7079000
TAMAULIPAS               ,CD MANTE       ,"22.7439614,-98.9747539,21",1605,2063000,1901000,1480000,921000,1906000,1865000,1859000,1365000,1567000,1638000,1227000,1827000
MORELOS                  ,CUAUTLA        ,"18.8421867,-98.9407317,20",1606,2912000,4101000,1629000,1723000,2349000,2965000,2076000,2320000,2706000,2219000,3019000,2679000
JALISCO                  ,LAGOS DE MORENO,"21.3553583,-101.9698952,13.75",1607,6819000,5253000,4267000,3980000,4732000,4383000,3814000,4102000,3318000,3493000,3319000,3922000
ESTADO DE MEXICO         ,NAUCALPAN      ,"19.4598326,-99.2580736,14",1608,2846000,2430000,2078000,1991000,2444000,2075000,1988000,2237000,2173000,2152000,1833000,2106000
PUEBLA                   ,PUEBLA         ,"19.0437132,-98.1756942,13.75",1609,5935000,4163000,3118000,2946000,3289000,3689000,2987000,3667000,2880000,3046000,2643000,3465000
ESTADO DE MEXICO         ,TECAMAC        ,"19.5971066,-99.0406331,14",1610,7234000,4107000,3794000,3173000,3586000,3699000,3528000,4099000,3231000,2953000,2875000,3370000
OAXACA                   ,OAXACA         ,"17.0789078,-96.7188179,18",1611,11457000,9401000,9024000,8473000,8839000,8068000,6772000,8493000,7093000,6648000,6187000,7065000
CHIAPAS                  ,COMITAN DE DOMI,"16.2169663,-92.1163133,17.25",1612,21134000,16059000,12903000,11770000,12024000,12514000,11403000,12444000,10501000,10577000,9370000,10040000
ESTADO DE MEXICO         ,CHIAUTLA       ,"19.5481095,-99.4588758,10",1613,3363000,3206000,3548000,2566000,2983000,2668000,2790000,2911000,2677000,2324000,2100000,2416000
