Estado / Canal,Ciudad,latitud,longitud,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
ESTADO DE MEXICO         ,CUAUTITLAN IZCA,18.3919037,-95.7988067,1540,23734.9245,25765.8145,22281.9245,17311.02,25070.5845,24990.9145,22281.9245,24974.3845,24682.6545,24438.6545,24438.6545,28348.83922
BAJA CALIFORNIA SUR      ,LORETO         ,18.9666748,-98.1813484,1541,23994.97,23994.97,22541.97,22472.17,22374.97,23751.97,22541.97,21990.17,22374.97,22130.97,22130.97,25671.9252
PUEBLA                   ,PUEBLA         ,20.5364702,-97.4881414,1542,21783.97,21783.97,20330.97,20998.27,20973.97,21540.97,20330.97,20877.77,20973.97,20729.97,20729.97,24046.7652
SAN LUIS POTOSI          ,TAMUIN         ,19.7049137,-103.5419838,1543,21846.33,21846.33,20393.33,21846.33,21846.33,21373.64,20393.33,22173.93,22293.97,20916.33,20686.64,24262.9428
DISTRITO FEDERAL         ,IZTAPALAPA     ,22.1422536,-100.9786705,1544,26053.1345,26051.6145,24598.6145,19417.11,25767.2745,25578.9245,24598.6145,25574.8745,25379.3445,25135.3445,24905.6545,29156.99962
SINALOA                  ,CULIACAN       ,19.4070074,-99.1918262,1545,5796.18,5796.18,7016.18,7016.18,7016.18,5592.24,7016.18,5796.18,5796.18,5889.58,4977.07,4444.9808
NUEVO LEON               ,PESQUERIA      ,26.78484,-101.4316192,1546,23593.82,23588.96,28093.9173,24328.25,24328.25,23439.948,28093.9173,24006.36,24453.93,23821.88,23529.4,27635.144
VERACRUZ                 ,BOCA DEL RIO   ,19.8719144,-98.9596642,1547,20255.91,20255.91,21719.91,21719.91,21719.91,20051.97,21719.91,20255.91,20255.91,20363.91,18809.97,22056.1356
ESTADO DE MEXICO         ,NAUCALPAN      ,19.2715389,-99.0127568,1548,24843.9645,24843.9645,23390.9645,18420.06,26179.6245,24600.9645,23390.9645,26507.2245,26542.8445,26447.8945,26447.8945,30679.55762
GUANAJUATO               ,SN FCO DEL RINC,21.0925207,-101.6660111,1549,9760.91,9760.91,8307.91,9760.91,9760.91,9288.22,8307.91,9472.31,9760.91,9128.98,8899.29,10589.6168
CHIHUAHUA                ,CHIHUAHUA      ,32.4467908,-116.9972423,1550,10994.39,10994.39,9541.39,10994.39,10994.39,10751.39,9541.39,10801.99,10218.53,9974.53,9974.53,11570.4548
GUANAJUATO               ,SILAO          ,22.1422536,-100.9786705,1551,10227.91,10227.91,8774.91,10227.91,10227.91,9755.22,8774.91,9843.11,10227.91,9595.98,9366.29,11131.3368
OAXACA                   ,SANTIAGO PINOT ,19.1733426,-98.2305863,1552,10571.88,10571.88,9118.88,10571.88,10571.88,10099.19,9118.88,10187.08,10571.88,9939.95,9710.26,11530.342
